todos.count,photo,firstName,followers.count,lastName,lastUpdate,contact.facebook,contact.phone,homeCity,type,friends.count,key,gender,mayorships.count,contact.email,contact.twitter
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/JMFPPZ35JRI114S5.jpg,MB,884,L.,2011-03-14T09:53:40,1215755038,,"Dallas, TX",celebrity,97,1055836,male,2,,mbl
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/NZQLWS4YUZ5GQBV5.jpg,John Most,1159,,2011-03-16T07:15:04,703242399,,"Charlottesville, VA",celebrity,108,1056364,male,6,,johnmost
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/Y2MQDK24ZPQ35UFQ.jpg,SELF Magazine,1684,,2011-03-15T14:09:49,,,"Rockville Centre, New York",celebrity,98,1056888,female,0,,selfmagazine
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/DKBMISB2KZWQERCG.jpg,Indy Fit Seniors,2206,,2011-03-15T14:13:44,100001038367937,,"Indianapolis, IN",celebrity,139,1061740,male,0,,indyfitseniors
5,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/-1_1258685968372.jpg,jjprojects,1902,,2011-03-15T09:40:19,506782307,,"Sydney, Australia",celebrity,116,106424,male,8,,jjprojects
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/DM1SVLAI205QMUOY.jpg,Utrechts Uitburo,3766,,2011-03-16T19:09:29,,,"Utrecht, Nederland",brand,3766,1066667,none,0,,utrechtsuitburo
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/COLNNYC1MPOLJVPJ.jpg,Edmonton Journal,2743,,2011-03-16T18:33:48,,,"Edmonton, Canada",brand,2743,1067256,none,0,,edmontonjournal
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/02VC0FWF5WS3SL5C.jpg,Le Pain Quotidien,2412,,2011-03-16T18:35:19,,,"New York, NY",brand,2412,1068336,male,0,,lepainquotidien
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/OPAY2HUUAO0GEFWF.jpg,Starbucks,25778,,2011-03-16T18:41:01,,,"Seattle, WA",brand,25778,1070527,none,0,,starbucks
65,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/-1_1258693463379.jpg,LillyAnn,16509,,2011-03-16T15:32:57,504285204,,"Chicago, IL",celebrity,168,107108,female,28,,lillyann
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/154G2VO21ZKZLVTG.jpg,Concierge Questionnaire,1919,,2011-03-16T16:40:52,100000688106987,,"Ketchum, ID",brand,1919,1071649,female,0,,conciergeq
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/1SLUSVWVIG2EUXHU.jpg,XL Axiata,2872,,2011-03-16T09:14:09,,,Jakarta,celebrity,100,1075308,none,5,,xl123
1,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/DGQ534EWM2ZTKQTO.png,tikabanget,1183,g.,2011-03-16T07:14:21,531462346,,"Jakarta, South jakarta",celebrity,100,1076302,female,7,,tikabanget
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/W15MQ4BXQB24EZNR.jpg,Falabella Chile,1490,,2011-03-16T17:31:45,,,"Santiago, Chile",brand,1490,1077973,none,0,,falabella_cl
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/1LDYT3BQ2ZNW22CR.png,GQ,7584,,2011-03-16T18:43:34,,,"New York, NY",brand,7584,1082106,male,0,,
1,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/5EZAOCCCARKBVX4O.jpg,Ubisoft,3803,,2011-03-16T18:31:51,,,"Köln, Deutschland",brand,3803,1086156,none,0,,ubisoft
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/ISLC05RYCG50GW4Y.jpg,Andrew,1704,R.,2011-03-13T09:48:41,27305599,,"New York, NY",celebrity,95,108624,male,0,,andrewranwong
2,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/W0HAI2QBVHGC1OWI.jpg,Barclay,2397,,2011-03-16T18:47:25,100000589301351,,Paris,brand,2397,1088586,none,0,,labelbarclay
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/2KV5Y53WUQHEEKHX.png,The Cowz,1170,,2011-03-16T07:15:11,,,"Dallas, TX",celebrity,101,1089225,none,0,,eatmorchikin
8,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/109085_1259230413709.jpg,Pawoot (Pom),1569,P.,2011-03-16T07:06:03,648712177,,"Bang Kapi, Bangkok",celebrity,100,109085,male,4,,pawoot
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/1MELNY1ADRQ1KJLR.png,The New School U.,2488,,2011-03-16T19:05:19,,,"New York, NY",brand,2488,1095287,none,0,,thenewschool
12,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/FI3JU3O3LEQETHIX.jpg,Victoria,2028,A.,2011-03-16T07:06:01,,,"New York, NY",celebrity,69,1099199,female,7,,
12,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/1105_1237165240.jpg,jake,174,d.,2011-03-15T09:30:00,547701460,,"Brooklyn, NY",celebrity,156,1105,male,0,,jakedobkin
1,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/0GCGAOA4HE1UDIGQ.jpg,widyanto,1585,d.,2011-03-15T07:06:03,100000072155538,,"Jakarta Capital Region, Jakarta Capital Regi",celebrity,190,1105935,male,6,,widy_anto
4,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/W1TEKFUAFAMPXXAH.jpg,@GOchris,1181,M.,2011-03-13T03:16:36,194307865,,"Chicago, IL",celebrity,100,111429,male,8,,gochris
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/GCWUQ15ZAITDB5FO.png,4SQMobile,1221,,2011-03-16T07:13:54,,,"WorldWide, but developed from IA, USA",celebrity,192,1120322,none,0,,4sqmobile
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/XMBU52WKJTXCOGW2.gif,Stanford University,17659,,2011-03-16T18:41:43,,,"Stanford, CA",brand,17659,1120937,none,0,,
14,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/-1_1258769055525.jpg,Sacre Bleu Wine,1942,,2011-03-15T14:15:47,,,Talca,celebrity,123,112361,female,2,,sacrebleuwine
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/H0OIOVDEUSYF4G5R.jpg,Ridwan,1511,R.,2011-03-16T07:06:04,1683588729,,Indonesia,celebrity,107,1124208,male,0,,ridwan2906
2,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/KCJNMUFKOMSYOLXD.jpg,Roehampton University,2644,,2011-03-16T18:34:15,,,"Wandsworth, Greater London",brand,2644,1125529,male,0,,roehamptonuni
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/00HQYLR5OQW5PUI1.jpg,Jacqueline,1453,H.,2011-03-14T13:07:16,,,"Jakarta Capital Region, Jakarta Capital Regi",celebrity,111,1126243,female,15,,vintagediary
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/DPTFTS5DEQX0F001.jpg,Umbro,6259,,2011-03-16T19:06:48,,,"Manchester, UK",brand,6259,1126457,none,0,,umbro
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/JJNZRLUMW5ZSFM2T.jpg,SF Giants,8988,,2011-03-16T16:33:09,,,"San Francisco, CA",brand,8988,1127758,male,0,,sfgiants
1,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/AVWJW2PJEKCGHEQT.jpg,Eurostars Hotels,1479,,2011-03-16T17:32:11,1616221968,,"Barcelona, Espanya",brand,1479,1128116,none,0,,eurostars
18,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/XC12WPU5NXSWMKVW.jpg,Eric,572,F.,2011-03-14T13:03:47,504177044,,"New York, NY",celebrity,183,1129,male,2,,ericfriedman
24,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/4a5a37fa02c88.jpg,B.,1221,S.,2011-03-14T03:14:46,600745532,,"New York, NY",celebrity,152,11350,male,14,,bsimi
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/NDERAWONEJO5JWAI.jpg,Ryan,34757,S.,2011-03-16T15:32:45,,,"Los Angeles, California",celebrity,3,1137609,male,0,,ryanseacrest
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/GVF3GSTGNLXS1H2F.gif,"Coach, Inc.",2745,,2011-03-16T09:14:17,,,"New York, NY",celebrity,103,1137697,none,0,,coach
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/E0TKVYNXCSDCG5YJ.jpg,visitPA,56933,,2011-03-16T18:37:33,,,"Philadelphia, PA",brand,56933,1138456,none,0,,visitpa
2,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/V22NBFME4R24SR33.jpg,@DaDaRocks,1164,A.,2011-03-13T13:44:48,664941297,,"New York, NY",celebrity,152,113864,male,7,,dadarocks
6,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/-1_1258826913341.jpg,Patrick,1353,Z.,2011-03-16T07:11:55,,,"Los Angeles, CA",celebrity,145,114163,male,2,,
4,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/ADLLLD2ZHSSJQFGD.jpg,Ricky,3058,H.,2011-03-16T09:13:49,,,"Yogyakarta, Indonesia",celebrity,100,1148067,male,9,,rickyharun
1,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/0EGJIRK2RDX1LSTQ.jpg,The Seattle Times,7911,,2011-03-16T19:06:31,,,"Seattle, WA",brand,7911,1150073,female,0,,seattletimes
642,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/VNJPLXDR0N0DAHNO.jpg,Radityo,15461,D.,2011-03-16T15:32:59,1329654156,,,celebrity,131,1154759,male,14,,mediacare
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/4SFBAVAGQ52BQB0N.jpg,Gafisa S.A.,1597,,2011-03-16T19:07:08,,,,brand,1597,1159607,female,0,,gafisa
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/HBKF0C5XIVRVTJHK.jpg,Collin,931,C.,2011-03-10T21:13:15,1625434363,,"West Des Moines, IA",celebrity,140,1161867,male,66,,collincaffrey
1,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/-1_1258908426350.jpg,Missy,673,W.,2011-03-14T10:13:48,504671433,,"Orlando, FL",celebrity,384,116503,female,3,,missyward
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/524DMERGPETDKPBI.jpg,Rahaditya,1849,R.,2011-03-14T03:14:38,,,"Jakarta Capital Region, Jakarta Capital Regi",celebrity,100,1167927,male,31,,ultradit
2,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/NYW3OWIKKQOFBFYG.jpg,電源カフェ,12553,@.,2011-03-16T15:33:00,100000252458094,,"目黒区, 東京都",celebrity,427,1169143,male,2,,dengen_cafe
1,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/R3BOWAWQ1D52HBCE.jpg,Jambo Aceh,6527,C.,2011-03-16T09:11:45,,,"Yogyakarta, Indonesia",celebrity,343,1169990,none,0,,jamboaceh
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/EIDPMBY1UMJ5XS1M.jpg,foursquare.indonesia,4585,,2011-03-16T09:12:33,100001071097846,,"Surabaya, Indonesia",celebrity,100,1173366,male,0,,4sqindonesia
11,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/G2YQI5XYESOLFRB2.jpg,'Mark's List Mark,9947,..,2011-03-16T12:59:57,725417056,,"New York, NY",celebrity,199,1174134,male,21,,markslistnow
1,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/117717_1258943132324.jpg,lululemon athletica,8219,,2011-03-16T15:32:58,,,"Vancouver, Canada",brand,8219,117717,female,0,,lululemon
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/UEKIDE20PESHLLRR.jpg,tania lita devi,904,p.,2011-03-08T22:41:06,,,"Bali, Indonesia",celebrity,127,1177669,female,9,,tanialitadevi
5,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/JBB4DSKLPKC2CCAA.jpg,Toon,54,K.,2011-03-14T15:25:02,1487220473,,"Nijmegen, Nederland",celebrity,993,1180780,male,0,,toonkerssemaker
10,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/1DZKYDXQEINDFH45.png,Sean,973,C.,2011-03-15T09:30:13,679779709,,"Melbourne, Australia",celebrity,107,118080,male,12,,seancallanan
2,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/NXFADXBQP2ASUSD5.jpg,RezBuk,1440,,2011-03-14T13:03:23,,,"jakarta,Indonesia",celebrity,100,1187936,male,4,,rezabukanasli
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/1PN2MZU43DAMRX21.jpg,DineOut,1272,C.,2011-03-14T09:00:49,1129797225,,"Denver, CO",celebrity,140,1189083,male,0,,
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/YR3RDFF0ULBV2CGN.jpg,Barbie,2199,R.,2011-03-15T09:37:55,,,"Malibu, CA",celebrity,101,1191118,female,0,,barbiestyle
2,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/4OHQRKDXTD12E0CW.png,University of Louisville Online,4317,,2011-03-16T19:07:27,,,"Louisville, Kentucky",brand,4317,1191479,male,0,,uofl
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/ZW1DEXE5MPQVYH32.png,Cornell University,5821,,2011-03-16T14:45:39,,,"Ithaca, NY",brand,5821,1192925,none,0,,
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/VVK01NJYAO0K5KXM.png,SeatGeek .com,1242,,2011-03-16T14:47:22,,,"New York, NY",brand,1242,1193970,male,0,,seatgeek
1,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/355KIKK1HD0FVO1H.jpg,North Star (Sloan),1210,,2011-03-16T07:13:59,,,"Philadelphia, PA",celebrity,163,1201641,none,21,,northstarbar
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/KK0N2ILSLVATOWPH.jpg,Original Penguin,4454,,2011-03-16T16:46:29,,,"New York, NY",brand,4454,1202129,male,0,,originalpenguin
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/QLQWR3KAQO0RQTK0.jpg,Perry Ellis,3295,,2011-03-16T18:33:08,,,"Miami, FL",brand,3295,1203537,male,0,,perryellis
48,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/A4VLXJPKTRDSR2N1.jpg,The Commercial Appeal,1007,,2011-03-15T14:08:26,,,"Memphis, TN",celebrity,103,1204267,none,0,,memphisnews
4,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/4a69b64fad8dc.jpg,JoshLam.com,1710,,2011-03-15T03:21:27,905415713,,"觀塘, 九龍",celebrity,47,12046,male,82,,joshlam
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/5MNTAU1G32XRRZCI.png,EDP 24,3799,,2011-03-16T19:07:11,,,"Norwich, Norfolk",brand,3799,1209712,male,0,,edp24
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/1M4103N5VYKJXSFT.jpg,kate spade new york,2316,,2011-03-16T09:15:36,,,"New York, NY",celebrity,142,1213301,none,0,,katespadeny
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/5VYOA0HFZPTHJRKM.jpg,MGM Grand,4146,,2011-03-16T09:12:49,,,Vegas,celebrity,116,1216348,none,0,,mgmgrand
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/FGYH0TBE0XRLOTCL.jpg,TODAY Show,33890,,2011-03-16T16:38:42,,,"New York, NY",brand,33890,1223577,none,0,,todayshow
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/123028_1259507674125.jpg,Paul,1522,S.,2011-03-16T07:06:04,725612728,,"Saddleworth, Oldham",celebrity,139,123028,male,2,,paul_steele
10,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/E41NW34UBCR2IH4O.jpg,Paul,777,O.,2011-03-14T13:02:48,1112814729,,"Layton, Utah",celebrity,301,1236201,male,63,,pauliewallnutz
1,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/YBEADJ5F2PDYBYEE.png,iVillage,6947,,2011-03-16T18:43:46,,,"New York, NY",brand,6947,1236834,none,0,,ivillage
2,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/L1YLAZN3NXPECPKZ.gif,Downtown Boulder,4267,,2011-03-16T16:47:06,,,"Boulder, CO",brand,4267,1237754,female,0,,downtownboulder
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/OBKSVZEPJZ2YZX1Q.gif,TBD,6225,,2011-03-16T14:23:09,,,"Arlington, VA",brand,6225,1240364,none,0,,tbd
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/ZQN3AL21ING5G5NZ.jpg,The New York Daily News,7128,,2011-03-16T18:43:42,,,"New York, NY",brand,7128,1241858,female,0,,nydailynews
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/S1AGLATID5RYF5OI.jpg,Tonny,3563,M.,2011-03-16T09:13:14,1836618281,,Jakarta,celebrity,1001,1260631,male,11,,tonnymawardi
3,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/03AMRNPEJXSUZOAW.jpg,Apisilp,1338,T.,2011-03-08T22:41:11,621435468,,Bangkok,celebrity,101,126276,male,18,,macroart
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/EHWKQPW0JDYFRSJA.png,OffTV,1119,,2011-03-16T16:49:47,,,"Paris, France",brand,1119,1272624,none,0,,off_tv
2,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/LPVZHV3UYFYWOZN5.jpg,TasteMGMGrand,4287,,2011-03-16T09:12:44,,,"Las Vegas, NV",celebrity,110,1274918,none,0,,tastemgmgrand
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/GKHVMZ1BQCKX2ZYY.gif,VISIT Milwaukee,9831,,2011-03-16T16:22:50,1792372093,,"Milwaukee, WI",brand,9831,1276998,none,0,,visitmilwaukee
3,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/43TLFZ3RFHXO3WHY.jpg,MedicalMile,944,j.,2011-03-16T18:35:20,706595215,,"Grand Rapids, MII",celebrity,145,127841,male,3,,medicalmile
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/-1_1259317398268.png,Mark,1391,D.,2011-03-16T07:11:06,583549020,,"Brea, CA",celebrity,100,128160,male,0,,markdavidson
3,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/EBRWBRRTD4FEGNFC.jpg,Craig Alan,5392,,2011-03-16T09:12:11,1676987337,,"Atlanta, GA",celebrity,240,128400,male,11,,iknowcraigalan
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/CQKAHOXINDZT5O4P.jpg,Tanteo Tequila,4736,,2011-03-16T15:50:02,100000808883682,,"New York, NY",brand,4736,1286763,none,0,,tanteotequila
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/IXCNSPTXHCYCJANT.jpg,Louis Vuitton,66982,,2011-03-16T19:05:13,,,"London, UK",brand,66982,1297266,none,0,,louisvuitton_hq
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/2Q1XTZKQGKV3KMVH.png,BBCRadio1,7796,,2011-03-16T15:33:16,,,"London, UK",brand,7796,1297525,female,0,,bbcr1
1,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/0JWFSUUDI0WHCLC0.jpg,Stefigno,1081,,2011-03-16T07:15:54,576020513,,"Milano, Lombardia",celebrity,115,1302661,male,22,,stefigno
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/0ZXFMB1LJOWOZ12V.jpg,HUGO BOSS,5910,,2011-03-16T15:35:58,,,"Metzingen, Deutschland",brand,5910,1307334,none,0,,hugoboss
15,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/-1_1259460770984.jpg,Wine,5852,H.,2011-03-16T09:12:00,1632093878,,"San Diego, CA",celebrity,146,130771,female,3,,wineharlots
4,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/MXRIXQLGWK0D3X0G.jpg,Denny,1650,P.,2011-03-15T14:12:37,,,Everywhere,celebrity,101,1310174,male,0,,
27,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/O011WBBL25YKLWOR.jpg,Theo,1099,C.,2011-03-15T14:08:05,551156380,,"Worcester, Massachusetts",celebrity,108,1311909,male,23,,theocossin
1,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/L5HKGPGKYTKXUO5A.jpg,iheartradio,1119,,2011-03-15T14:12:13,,,"New York, NY",celebrity,106,1312380,female,1,,iheartradio
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/CNIO2QQIF3HIBXBC.jpg,Style.com,10708,,2011-03-16T18:42:51,,,"New York, NY",brand,10708,1314412,none,0,,styledotcom
43,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/1MBMDLNU1AI20QU3.jpg,KatieFelten,1221,,2011-03-13T03:13:08,726075012,,"Milwaukee, WI",celebrity,275,132335,female,11,,katiefelten
